[ 00:00:00.497 -->  00:00:06.707] JX SPEAKER_09
[ 00:00:07.416 -->  00:00:54.683] JY SPEAKER_09
[ 00:00:57.315 -->  00:01:28.652] JZ SPEAKER_09
[ 00:01:30.728 -->  00:01:41.545] KA SPEAKER_09
[ 00:01:42.135 -->  00:01:52.530] KB SPEAKER_09
[ 00:01:54.066 -->  00:02:00.681] KC SPEAKER_09
[ 00:02:02.267 -->  00:02:10.148] KD SPEAKER_09
[ 00:02:11.127 -->  00:02:45.130] KE SPEAKER_09
[ 00:02:59.102 -->  00:02:59.490] GO SPEAKER_06
[ 00:03:01.195 -->  00:03:18.137] GP SPEAKER_06
[ 00:03:19.150 -->  00:03:19.842] LQ SPEAKER_12
[ 00:03:20.247 -->  00:03:26.980] GQ SPEAKER_06
[ 00:03:24.128 -->  00:03:24.803] EG SPEAKER_05
[ 00:03:29.933 -->  00:04:17.942] GR SPEAKER_06
[ 00:04:18.533 -->  00:06:01.724] GS SPEAKER_06
[ 00:06:02.415 -->  00:06:04.305] GT SPEAKER_06
[ 00:06:05.335 -->  00:06:24.555] GU SPEAKER_06
[ 00:06:25.146 -->  00:06:32.048] GV SPEAKER_06
[ 00:06:33.246 -->  00:06:47.505] GW SPEAKER_06
[ 00:06:48.771 -->  00:06:56.787] GX SPEAKER_06
[ 00:06:58.542 -->  00:07:42.670] GY SPEAKER_06
[ 00:07:44.340 -->  00:08:13.720] GZ SPEAKER_06
[ 00:08:14.462 -->  00:08:40.079] HA SPEAKER_06
[ 00:08:37.986 -->  00:08:51.098] EH SPEAKER_05
[ 00:08:51.891 -->  00:10:29.985] EI SPEAKER_05
[ 00:10:31.589 -->  00:10:38.490] M SPEAKER_02
[ 00:10:39.824 -->  00:10:47.063] N SPEAKER_02
[ 00:10:47.974 -->  00:11:34.212] O SPEAKER_02
[ 00:11:34.752 -->  00:11:55.812] EJ SPEAKER_05
[ 00:11:51.711 -->  00:11:56.537] P SPEAKER_02
[ 00:11:55.812 -->  00:11:55.845] BG SPEAKER_04
[ 00:11:58.309 -->  00:12:08.856] BH SPEAKER_04
[ 00:12:02.376 -->  00:12:02.730] LR SPEAKER_12
[ 00:12:02.730 -->  00:12:03.507] EK SPEAKER_05
[ 00:12:03.507 -->  00:12:05.363] LS SPEAKER_12
[ 00:12:09.649 -->  00:12:31.553] BI SPEAKER_04
[ 00:12:11.944 -->  00:12:11.995] Q SPEAKER_02
[ 00:12:32.515 -->  00:12:38.202] BJ SPEAKER_04
[ 00:12:38.995 -->  00:12:42.134] BK SPEAKER_04
[ 00:12:43.349 -->  00:13:08.273] BL SPEAKER_04
[ 00:13:09.032 -->  00:13:16.221] BM SPEAKER_04
[ 00:13:17.099 -->  00:13:24.456] BN SPEAKER_04
[ 00:13:25.030 -->  00:13:52.266] EL SPEAKER_05
[ 00:13:53.414 -->  00:14:13.461] EM SPEAKER_05
[ 00:14:15.891 -->  00:14:44.393] R SPEAKER_02
[ 00:14:45.422 -->  00:15:22.564] S SPEAKER_02
[ 00:15:25.635 -->  00:16:44.374] EN SPEAKER_05
[ 00:16:42.788 -->  00:16:43.514] LT SPEAKER_12
[ 00:16:48.593 -->  00:16:48.779] HB SPEAKER_06
[ 00:16:49.757 -->  00:16:54.769] HC SPEAKER_06
[ 00:16:57.503 -->  00:17:21.364] HD SPEAKER_06
[ 00:17:22.545 -->  00:17:34.695] HE SPEAKER_06
[ 00:17:35.455 -->  00:18:04.530] HF SPEAKER_06
[ 00:18:05.189 -->  00:18:16.950] HG SPEAKER_06
[ 00:18:17.963 -->  00:18:18.992] HH SPEAKER_06
[ 00:18:21.389 -->  00:18:27.126] HI SPEAKER_06
[ 00:18:29.961 -->  00:18:36.947] T SPEAKER_02
[ 00:18:36.947 -->  00:18:52.590] KF SPEAKER_09
[ 00:18:53.586 -->  00:19:04.504] KG SPEAKER_09
[ 00:19:06.377 -->  00:19:26.087] KH SPEAKER_09
[ 00:19:19.995 -->  00:19:20.114] A SPEAKER_00
[ 00:19:24.619 -->  00:19:25.058] EO SPEAKER_05
[ 00:19:25.952 -->  00:22:11.631] EP SPEAKER_05
[ 00:21:44.192 -->  00:21:44.479] JL SPEAKER_08
[ 00:22:11.631 -->  00:22:14.922] BO SPEAKER_04
[ 00:22:16.322 -->  00:22:16.913] BP SPEAKER_04
[ 00:22:17.909 -->  00:22:28.034] BQ SPEAKER_04
[ 00:22:29.400 -->  00:23:26.269] BR SPEAKER_04
[ 00:23:26.894 -->  00:24:16.371] HJ SPEAKER_06
[ 00:24:17.080 -->  00:25:52.322] HK SPEAKER_06
[ 00:25:09.915 -->  00:25:10.371] KI SPEAKER_09
[ 00:25:15.282 -->  00:25:15.484] IM SPEAKER_07
[ 00:25:52.474 -->  00:26:46.677] U SPEAKER_02
[ 00:25:56.862 -->  00:25:56.946] LU SPEAKER_12
[ 00:26:47.554 -->  00:27:10.521] V SPEAKER_02
[ 00:27:10.538 -->  00:27:26.215] HL SPEAKER_06
[ 00:27:26.957 -->  00:27:52.236] HM SPEAKER_06
[ 00:27:52.962 -->  00:27:52.995] HN SPEAKER_06
[ 00:27:52.995 -->  00:27:53.822] EQ SPEAKER_05
[ 00:27:55.240 -->  00:27:59.324] ER SPEAKER_05
[ 00:28:00.235 -->  00:28:16.232] HO SPEAKER_06
[ 00:28:15.557 -->  00:28:19.270] ES SPEAKER_05
[ 00:28:19.270 -->  00:28:22.493] HP SPEAKER_06
[ 00:28:22.493 -->  00:28:23.505] BS SPEAKER_04
[ 00:28:23.100 -->  00:28:23.438] HQ SPEAKER_06
[ 00:28:23.505 -->  00:28:29.564] ET SPEAKER_05
[ 00:28:28.197 -->  00:28:34.542] HR SPEAKER_06
[ 00:28:34.744 -->  00:28:58.994] BT SPEAKER_04
[ 00:28:58.994 -->  00:29:26.129] W SPEAKER_02
[ 00:29:26.736 -->  00:29:30.044] X SPEAKER_02
[ 00:29:29.115 -->  00:29:33.959] EU SPEAKER_05
[ 00:29:30.989 -->  00:29:31.680] Y SPEAKER_02
[ 00:29:32.760 -->  00:29:35.528] Z SPEAKER_02
[ 00:29:35.528 -->  00:31:11.024] EV SPEAKER_05
[ 00:30:36.143 -->  00:30:36.784] B SPEAKER_00
[ 00:31:11.024 -->  00:31:22.971] BU SPEAKER_04
[ 00:31:23.747 -->  00:32:45.760] BV SPEAKER_04
[ 00:32:09.749 -->  00:32:09.917] LV SPEAKER_12
[ 00:32:47.245 -->  00:33:01.302] BW SPEAKER_04
[ 00:33:03.360 -->  00:33:30.006] HS SPEAKER_06
[ 00:33:22.919 -->  00:33:23.897] LW SPEAKER_12
[ 00:33:32.014 -->  00:34:19.973] HT SPEAKER_06
[ 00:34:18.370 -->  00:34:18.741] JM SPEAKER_08
[ 00:34:18.404 -->  00:34:24.445] KJ SPEAKER_09
[ 00:34:19.973 -->  00:34:20.074] JN SPEAKER_08
[ 00:34:24.445 -->  00:34:24.495] JO SPEAKER_08
[ 00:34:26.132 -->  00:34:40.932] HU SPEAKER_06
[ 00:34:42.045 -->  00:35:43.504] AA SPEAKER_02
[ 00:35:44.770 -->  00:37:21.599] EW SPEAKER_05
[ 00:36:10.808 -->  00:36:11.010] LB SPEAKER_11
[ 00:36:23.346 -->  00:36:24.004] C SPEAKER_00
[ 00:36:24.004 -->  00:36:24.392] LX SPEAKER_12
[ 00:36:27.261 -->  00:36:27.278] BX SPEAKER_04
[ 00:36:27.278 -->  00:36:27.497] LY SPEAKER_12
[ 00:36:27.497 -->  00:36:29.286] AB SPEAKER_02
[ 00:36:28.493 -->  00:36:28.949] LZ SPEAKER_12
[ 00:36:54.599 -->  00:36:54.970] JP SPEAKER_08
[ 00:37:08.757 -->  00:37:10.292] MA SPEAKER_12
[ 00:37:19.844 -->  00:37:20.704] MB SPEAKER_12
[ 00:37:22.274 -->  00:37:24.822] EX SPEAKER_05
[ 00:37:24.822 -->  00:37:28.315] HV SPEAKER_06
[ 00:37:28.703 -->  00:38:18.906] EY SPEAKER_05
[ 00:38:20.475 -->  00:38:25.622] EZ SPEAKER_05
[ 00:38:23.918 -->  00:38:31.174] HW SPEAKER_06
[ 00:38:30.820 -->  00:38:32.693] FA SPEAKER_05
[ 00:38:32.001 -->  00:38:43.763] HX SPEAKER_06
[ 00:38:44.522 -->  00:38:45.990] HY SPEAKER_06
[ 00:38:49.821 -->  00:38:53.331] AC SPEAKER_02
[ 00:38:53.331 -->  00:38:56.723] HZ SPEAKER_06
